"Statistic Label","Quarter","Sex","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Persons aged 15-89 years in Employment","2012Q2","Both sexes","Education (P)","Thousand","138.8"
"Persons aged 15-89 years in Employment","2012Q2","Both sexes","Human health and social work activities (Q)","Thousand","256.5"
"Persons aged 15-89 years in Employment","2012Q2","Both sexes","Industry (B to E)","Thousand","231.7"
"Persons aged 15-89 years in Employment","2012Q2","Both sexes","Industry and Construction (B to F)","Thousand","312.9"
"Persons aged 15-89 years in Employment","2012Q2","Both sexes","Services (G to U)","Thousand","1447.1"
"Persons aged 15-89 years in Employment","2012Q2","Both sexes","Financial, insurance and real estate activities (K,L)","Thousand","100.1"
"Persons aged 15-89 years in Employment","2012Q2","Both sexes","Other NACE activities (R to U)","Thousand","106.3"
"Persons aged 15-89 years in Employment","2012Q2","Both sexes","Not stated","Thousand","3.6"
"Persons aged 15-89 years in Employment","2012Q2","Male","All NACE economic sectors","Thousand","998.4"
"Persons aged 15-89 years in Employment","2012Q2","Male","Agriculture, forestry and fishing (A)","Thousand","98.1"
"Persons aged 15-89 years in Employment","2012Q2","Male","Construction (F)","Thousand","76.8"
"Persons aged 15-89 years in Employment","2012Q2","Male","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","133.1"
"Persons aged 15-89 years in Employment","2012Q2","Male","Transportation and storage (H)","Thousand","65.7"
"Persons aged 15-89 years in Employment","2012Q2","Male","Accommodation and food service activities (I)","Thousand","62"
"Persons aged 15-89 years in Employment","2012Q2","Male","Information and communication (J)","Thousand","63.3"
"Persons aged 15-89 years in Employment","2012Q2","Male","Professional, scientific and technical activities (M)","Thousand","65.3"
"Persons aged 15-89 years in Employment","2012Q2","Male","Administrative and support service activities (N)","Thousand","43.3"
"Persons aged 15-89 years in Employment","2012Q2","Male","Public administration and defence, compulsory social security (O)","Thousand","48.3"
"Persons aged 15-89 years in Employment","2012Q2","Male","Education (P)","Thousand","34"
"Persons aged 15-89 years in Employment","2012Q2","Male","Human health and social work activities (Q)","Thousand","54.9"
"Persons aged 15-89 years in Employment","2012Q2","Male","Industry (B to E)","Thousand","161.6"
"Persons aged 15-89 years in Employment","2012Q2","Male","Industry and Construction (B to F)","Thousand","238.5"
"Persons aged 15-89 years in Employment","2012Q2","Male","Services (G to U)","Thousand","659.9"
"Persons aged 15-89 years in Employment","2012Q2","Male","Financial, insurance and real estate activities (K,L)","Thousand","47.5"
"Persons aged 15-89 years in Employment","2012Q2","Male","Other NACE activities (R to U)","Thousand","42.4"
"Persons aged 15-89 years in Employment","2012Q2","Male","Not stated","Thousand",""
"Persons aged 15-89 years in Employment","2012Q2","Female","All NACE economic sectors","Thousand","878.4"
"Persons aged 15-89 years in Employment","2012Q2","Female","Agriculture, forestry and fishing (A)","Thousand","15.2"
"Persons aged 15-89 years in Employment","2012Q2","Female","Construction (F)","Thousand","4.4"
"Persons aged 15-89 years in Employment","2012Q2","Female","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","138.1"
"Persons aged 15-89 years in Employment","2012Q2","Female","Transportation and storage (H)","Thousand","18.1"
"Persons aged 15-89 years in Employment","2012Q2","Female","Accommodation and food service activities (I)","Thousand","61.5"
"Persons aged 15-89 years in Employment","2012Q2","Female","Information and communication (J)","Thousand","31.6"
"Persons aged 15-89 years in Employment","2012Q2","Female","Professional, scientific and technical activities (M)","Thousand","43.3"
"Persons aged 15-89 years in Employment","2012Q2","Female","Administrative and support service activities (N)","Thousand","32"
"Persons aged 15-89 years in Employment","2012Q2","Female","Public administration and defence, compulsory social security (O)","Thousand","39.8"
"Persons aged 15-89 years in Employment","2012Q2","Female","Education (P)","Thousand","104.8"
"Persons aged 15-89 years in Employment","2012Q2","Female","Human health and social work activities (Q)","Thousand","201.6"
"Persons aged 15-89 years in Employment","2012Q2","Female","Industry (B to E)","Thousand","70"
"Persons aged 15-89 years in Employment","2012Q2","Female","Industry and Construction (B to F)","Thousand","74.4"
"Persons aged 15-89 years in Employment","2012Q2","Female","Services (G to U)","Thousand","787.2"
"Persons aged 15-89 years in Employment","2012Q2","Female","Financial, insurance and real estate activities (K,L)","Thousand","52.5"
"Persons aged 15-89 years in Employment","2012Q2","Female","Other NACE activities (R to U)","Thousand","63.9"
"Persons aged 15-89 years in Employment","2012Q2","Female","Not stated","Thousand",""
"Persons aged 15-89 years in Employment","2012Q3","Both sexes","All NACE economic sectors","Thousand","1888.5"
"Persons aged 15-89 years in Employment","2012Q3","Both sexes","Agriculture, forestry and fishing (A)","Thousand","110.1"
"Persons aged 15-89 years in Employment","2012Q3","Both sexes","Construction (F)","Thousand","82.8"
"Persons aged 15-89 years in Employment","2012Q3","Both sexes","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","276.5"
"Persons aged 15-89 years in Employment","2012Q3","Both sexes","Transportation and storage (H)","Thousand","83.3"
"Persons aged 15-89 years in Employment","2012Q3","Both sexes","Accommodation and food service activities (I)","Thousand","127.2"
"Persons aged 15-89 years in Employment","2012Q3","Both sexes","Information and communication (J)","Thousand","91.2"
"Persons aged 15-89 years in Employment","2012Q3","Both sexes","Professional, scientific and technical activities (M)","Thousand","106.2"
"Persons aged 15-89 years in Employment","2012Q3","Both sexes","Administrative and support service activities (N)","Thousand","79.7"
"Persons aged 15-89 years in Employment","2012Q3","Both sexes","Public administration and defence, compulsory social security (O)","Thousand","88.5"
"Persons aged 15-89 years in Employment","2012Q3","Both sexes","Education (P)","Thousand","134"
"Persons aged 15-89 years in Employment","2012Q3","Both sexes","Human health and social work activities (Q)","Thousand","257.8"
"Persons aged 15-89 years in Employment","2012Q3","Both sexes","Industry (B to E)","Thousand","232.7"
"Persons aged 15-89 years in Employment","2012Q3","Both sexes","Industry and Construction (B to F)","Thousand","315.4"
"Persons aged 15-89 years in Employment","2012Q3","Both sexes","Services (G to U)","Thousand","1456"
"Persons aged 15-89 years in Employment","2012Q3","Both sexes","Financial, insurance and real estate activities (K,L)","Thousand","103.5"
"Persons aged 15-89 years in Employment","2012Q3","Both sexes","Other NACE activities (R to U)","Thousand","108"
"Persons aged 15-89 years in Employment","2012Q3","Both sexes","Not stated","Thousand","7"
"Persons aged 15-89 years in Employment","2012Q3","Male","All NACE economic sectors","Thousand","1011.1"
"Persons aged 15-89 years in Employment","2012Q3","Male","Agriculture, forestry and fishing (A)","Thousand","95.3"
"Persons aged 15-89 years in Employment","2012Q3","Male","Construction (F)","Thousand","78"
"Persons aged 15-89 years in Employment","2012Q3","Male","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","135.8"
"Persons aged 15-89 years in Employment","2012Q3","Male","Transportation and storage (H)","Thousand","67"
"Persons aged 15-89 years in Employment","2012Q3","Male","Accommodation and food service activities (I)","Thousand","64.8"
"Persons aged 15-89 years in Employment","2012Q3","Male","Information and communication (J)","Thousand","62.3"
"Persons aged 15-89 years in Employment","2012Q3","Male","Professional, scientific and technical activities (M)","Thousand","65.4"
"Persons aged 15-89 years in Employment","2012Q3","Male","Administrative and support service activities (N)","Thousand","44.6"
"Persons aged 15-89 years in Employment","2012Q3","Male","Public administration and defence, compulsory social security (O)","Thousand","49.2"
"Persons aged 15-89 years in Employment","2012Q3","Male","Education (P)","Thousand","34.9"
"Persons aged 15-89 years in Employment","2012Q3","Male","Human health and social work activities (Q)","Thousand","57.9"
"Persons aged 15-89 years in Employment","2012Q3","Male","Industry (B to E)","Thousand","160.2"
"Persons aged 15-89 years in Employment","2012Q3","Male","Industry and Construction (B to F)","Thousand","238.2"
"Persons aged 15-89 years in Employment","2012Q3","Male","Services (G to U)","Thousand","674.1"
"Persons aged 15-89 years in Employment","2012Q3","Male","Financial, insurance and real estate activities (K,L)","Thousand","49.9"
"Persons aged 15-89 years in Employment","2012Q3","Male","Other NACE activities (R to U)","Thousand","42.4"
"Persons aged 15-89 years in Employment","2012Q3","Male","Not stated","Thousand","3.6"
"Persons aged 15-89 years in Employment","2012Q3","Female","All NACE economic sectors","Thousand","877.3"
"Persons aged 15-89 years in Employment","2012Q3","Female","Agriculture, forestry and fishing (A)","Thousand","14.7"
"Persons aged 15-89 years in Employment","2012Q3","Female","Construction (F)","Thousand","4.8"
"Persons aged 15-89 years in Employment","2012Q3","Female","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","140.7"
"Persons aged 15-89 years in Employment","2012Q3","Female","Transportation and storage (H)","Thousand","16.3"
"Persons aged 15-89 years in Employment","2012Q3","Female","Accommodation and food service activities (I)","Thousand","62.4"
"Persons aged 15-89 years in Employment","2012Q3","Female","Information and communication (J)","Thousand","28.9"
"Persons aged 15-89 years in Employment","2012Q3","Female","Professional, scientific and technical activities (M)","Thousand","40.9"
"Persons aged 15-89 years in Employment","2012Q3","Female","Administrative and support service activities (N)","Thousand","35.1"
"Persons aged 15-89 years in Employment","2012Q3","Female","Public administration and defence, compulsory social security (O)","Thousand","39.3"
"Persons aged 15-89 years in Employment","2012Q3","Female","Education (P)","Thousand","99.1"
"Persons aged 15-89 years in Employment","2012Q3","Female","Human health and social work activities (Q)","Thousand","199.9"
"Persons aged 15-89 years in Employment","2012Q3","Female","Industry (B to E)","Thousand","72.5"
"Persons aged 15-89 years in Employment","2012Q3","Female","Industry and Construction (B to F)","Thousand","77.3"
"Persons aged 15-89 years in Employment","2012Q3","Female","Services (G to U)","Thousand","781.9"
"Persons aged 15-89 years in Employment","2012Q3","Female","Financial, insurance and real estate activities (K,L)","Thousand","53.6"
"Persons aged 15-89 years in Employment","2012Q3","Female","Other NACE activities (R to U)","Thousand","65.6"
"Persons aged 15-89 years in Employment","2012Q3","Female","Not stated","Thousand","3.4"
"Persons aged 15-89 years in Employment","2012Q4","Both sexes","All NACE economic sectors","Thousand","1892.9"
"Persons aged 15-89 years in Employment","2012Q4","Both sexes","Agriculture, forestry and fishing (A)","Thousand","107.5"
"Persons aged 15-89 years in Employment","2012Q4","Both sexes","Construction (F)","Thousand","85"
"Persons aged 15-89 years in Employment","2012Q4","Both sexes","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","277.9"
"Persons aged 15-89 years in Employment","2012Q4","Both sexes","Transportation and storage (H)","Thousand","82.6"
"Persons aged 15-89 years in Employment","2012Q4","Both sexes","Accommodation and food service activities (I)","Thousand","122.6"
"Persons aged 15-89 years in Employment","2012Q4","Both sexes","Information and communication (J)","Thousand","97.3"
"Persons aged 15-89 years in Employment","2012Q4","Both sexes","Professional, scientific and technical activities (M)","Thousand","109.1"
"Persons aged 15-89 years in Employment","2012Q4","Both sexes","Administrative and support service activities (N)","Thousand","75.9"
"Persons aged 15-89 years in Employment","2012Q4","Both sexes","Public administration and defence, compulsory social security (O)","Thousand","85.6"
"Persons aged 15-89 years in Employment","2012Q4","Both sexes","Education (P)","Thousand","138.8"
"Persons aged 15-89 years in Employment","2012Q4","Both sexes","Human health and social work activities (Q)","Thousand","258.1"
"Persons aged 15-89 years in Employment","2012Q4","Both sexes","Industry (B to E)","Thousand","240.2"
"Persons aged 15-89 years in Employment","2012Q4","Both sexes","Industry and Construction (B to F)","Thousand","325.3"
"Persons aged 15-89 years in Employment","2012Q4","Both sexes","Services (G to U)","Thousand","1454.5"
"Persons aged 15-89 years in Employment","2012Q4","Both sexes","Financial, insurance and real estate activities (K,L)","Thousand","104.3"
"Persons aged 15-89 years in Employment","2012Q4","Both sexes","Other NACE activities (R to U)","Thousand","102.1"
"Persons aged 15-89 years in Employment","2012Q4","Both sexes","Not stated","Thousand","5.7"
"Persons aged 15-89 years in Employment","2012Q4","Male","All NACE economic sectors","Thousand","1011.9"
"Persons aged 15-89 years in Employment","2012Q4","Male","Agriculture, forestry and fishing (A)","Thousand","93.6"
"Persons aged 15-89 years in Employment","2012Q4","Male","Construction (F)","Thousand","80"
"Persons aged 15-89 years in Employment","2012Q4","Male","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","137.7"
"Persons aged 15-89 years in Employment","2012Q4","Male","Transportation and storage (H)","Thousand","67.1"
"Persons aged 15-89 years in Employment","2012Q4","Male","Accommodation and food service activities (I)","Thousand","62.3"
"Persons aged 15-89 years in Employment","2012Q4","Male","Information and communication (J)","Thousand","65.1"
"Persons aged 15-89 years in Employment","2012Q4","Male","Professional, scientific and technical activities (M)","Thousand","65.6"
"Persons aged 15-89 years in Employment","2012Q4","Male","Administrative and support service activities (N)","Thousand","42.7"
"Persons aged 15-89 years in Employment","2012Q4","Male","Public administration and defence, compulsory social security (O)","Thousand","47.3"
"Persons aged 15-89 years in Employment","2012Q4","Male","Education (P)","Thousand","33.9"
"Persons aged 15-89 years in Employment","2012Q4","Male","Human health and social work activities (Q)","Thousand","54.7"
"Persons aged 15-89 years in Employment","2012Q4","Male","Industry (B to E)","Thousand","166.2"
"Persons aged 15-89 years in Employment","2012Q4","Male","Industry and Construction (B to F)","Thousand","246.2"
"Persons aged 15-89 years in Employment","2012Q4","Male","Services (G to U)","Thousand","668.6"
"Persons aged 15-89 years in Employment","2012Q4","Male","Financial, insurance and real estate activities (K,L)","Thousand","51.5"
"Persons aged 15-89 years in Employment","2012Q4","Male","Other NACE activities (R to U)","Thousand","40.7"
"Persons aged 15-89 years in Employment","2012Q4","Male","Not stated","Thousand","3.5"
"Persons aged 15-89 years in Employment","2012Q4","Female","All NACE economic sectors","Thousand","881"
"Persons aged 15-89 years in Employment","2012Q4","Female","Agriculture, forestry and fishing (A)","Thousand","13.9"
"Persons aged 15-89 years in Employment","2012Q4","Female","Construction (F)","Thousand","5"
"Persons aged 15-89 years in Employment","2012Q4","Female","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","140.2"
"Persons aged 15-89 years in Employment","2012Q4","Female","Transportation and storage (H)","Thousand","15.5"
"Persons aged 15-89 years in Employment","2012Q4","Female","Accommodation and food service activities (I)","Thousand","60.3"
"Persons aged 15-89 years in Employment","2012Q4","Female","Information and communication (J)","Thousand","32.2"
"Persons aged 15-89 years in Employment","2012Q4","Female","Professional, scientific and technical activities (M)","Thousand","43.5"
"Persons aged 15-89 years in Employment","2012Q4","Female","Administrative and support service activities (N)","Thousand","33.2"
"Persons aged 15-89 years in Employment","2012Q4","Female","Public administration and defence, compulsory social security (O)","Thousand","38.3"
"Persons aged 15-89 years in Employment","2012Q4","Female","Education (P)","Thousand","104.9"
"Persons aged 15-89 years in Employment","2012Q4","Female","Human health and social work activities (Q)","Thousand","203.3"
"Persons aged 15-89 years in Employment","2012Q4","Female","Industry (B to E)","Thousand","74"
"Persons aged 15-89 years in Employment","2012Q4","Female","Industry and Construction (B to F)","Thousand","79.1"
"Persons aged 15-89 years in Employment","2012Q4","Female","Services (G to U)","Thousand","785.8"
"Persons aged 15-89 years in Employment","2012Q4","Female","Financial, insurance and real estate activities (K,L)","Thousand","52.8"
"Persons aged 15-89 years in Employment","2012Q4","Female","Other NACE activities (R to U)","Thousand","61.5"
"Persons aged 15-89 years in Employment","2012Q4","Female","Not stated","Thousand","2.2"
"Persons aged 15-89 years in Employment","2013Q1","Both sexes","All NACE economic sectors","Thousand","1893.2"
"Persons aged 15-89 years in Employment","2013Q1","Both sexes","Agriculture, forestry and fishing (A)","Thousand","106.7"
"Persons aged 15-89 years in Employment","2013Q1","Both sexes","Construction (F)","Thousand","80.2"
"Persons aged 15-89 years in Employment","2013Q1","Both sexes","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","280.4"
"Persons aged 15-89 years in Employment","2013Q1","Both sexes","Transportation and storage (H)","Thousand","82.8"
"Persons aged 15-89 years in Employment","2013Q1","Both sexes","Accommodation and food service activities (I)","Thousand","125.3"
"Persons aged 15-89 years in Employment","2013Q1","Both sexes","Information and communication (J)","Thousand","91.5"
"Persons aged 15-89 years in Employment","2013Q1","Both sexes","Professional, scientific and technical activities (M)","Thousand","111.5"
"Persons aged 15-89 years in Employment","2013Q1","Both sexes","Administrative and support service activities (N)","Thousand","71.9"
"Persons aged 15-89 years in Employment","2013Q1","Both sexes","Public administration and defence, compulsory social security (O)","Thousand","85.7"
"Persons aged 15-89 years in Employment","2013Q1","Both sexes","Education (P)","Thousand","141.7"
"Persons aged 15-89 years in Employment","2013Q1","Both sexes","Human health and social work activities (Q)","Thousand","259.1"
"Persons aged 15-89 years in Employment","2013Q1","Both sexes","Industry (B to E)","Thousand","242.5"
"Persons aged 15-89 years in Employment","2013Q1","Both sexes","Industry and Construction (B to F)","Thousand","322.8"
"Persons aged 15-89 years in Employment","2013Q1","Both sexes","Services (G to U)","Thousand","1458.1"
"Persons aged 15-89 years in Employment","2013Q1","Both sexes","Financial, insurance and real estate activities (K,L)","Thousand","101.7"
"Persons aged 15-89 years in Employment","2013Q1","Both sexes","Other NACE activities (R to U)","Thousand","106.5"
"Persons aged 15-89 years in Employment","2013Q1","Both sexes","Not stated","Thousand","5.7"
"Persons aged 15-89 years in Employment","2013Q1","Male","All NACE economic sectors","Thousand","1018"
"Persons aged 15-89 years in Employment","2013Q1","Male","Agriculture, forestry and fishing (A)","Thousand","92.9"
"Persons aged 15-89 years in Employment","2013Q1","Male","Construction (F)","Thousand","75.9"
"Persons aged 15-89 years in Employment","2013Q1","Male","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","141.2"
"Persons aged 15-89 years in Employment","2013Q1","Male","Transportation and storage (H)","Thousand","67.9"
"Persons aged 15-89 years in Employment","2013Q1","Male","Accommodation and food service activities (I)","Thousand","64.7"
"Persons aged 15-89 years in Employment","2013Q1","Male","Information and communication (J)","Thousand","61.1"
"Persons aged 15-89 years in Employment","2013Q1","Male","Professional, scientific and technical activities (M)","Thousand","66.4"
"Persons aged 15-89 years in Employment","2013Q1","Male","Administrative and support service activities (N)","Thousand","40.7"
"Persons aged 15-89 years in Employment","2013Q1","Male","Public administration and defence, compulsory social security (O)","Thousand","47.7"
"Persons aged 15-89 years in Employment","2013Q1","Male","Education (P)","Thousand","35.2"
"Persons aged 15-89 years in Employment","2013Q1","Male","Human health and social work activities (Q)","Thousand","55.9"
"Persons aged 15-89 years in Employment","2013Q1","Male","Industry (B to E)","Thousand","168.9"
"Persons aged 15-89 years in Employment","2013Q1","Male","Industry and Construction (B to F)","Thousand","244.7"
"Persons aged 15-89 years in Employment","2013Q1","Male","Services (G to U)","Thousand","676.4"
"Persons aged 15-89 years in Employment","2013Q1","Male","Financial, insurance and real estate activities (K,L)","Thousand","51.7"
"Persons aged 15-89 years in Employment","2013Q1","Male","Other NACE activities (R to U)","Thousand","44"
"Persons aged 15-89 years in Employment","2013Q1","Male","Not stated","Thousand","3.9"
"Persons aged 15-89 years in Employment","2013Q1","Female","All NACE economic sectors","Thousand","875.3"
"Persons aged 15-89 years in Employment","2013Q1","Female","Agriculture, forestry and fishing (A)","Thousand","13.8"
"Persons aged 15-89 years in Employment","2013Q1","Female","Construction (F)","Thousand","4.4"
"Persons aged 15-89 years in Employment","2013Q1","Female","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","139.1"
"Persons aged 15-89 years in Employment","2013Q1","Female","Transportation and storage (H)","Thousand","14.8"
"Persons aged 15-89 years in Employment","2013Q1","Female","Accommodation and food service activities (I)","Thousand","60.7"
"Persons aged 15-89 years in Employment","2013Q1","Female","Information and communication (J)","Thousand","30.4"
"Persons aged 15-89 years in Employment","2013Q1","Female","Professional, scientific and technical activities (M)","Thousand","45.1"
"Persons aged 15-89 years in Employment","2013Q1","Female","Administrative and support service activities (N)","Thousand","31.2"
"Persons aged 15-89 years in Employment","2013Q1","Female","Public administration and defence, compulsory social security (O)","Thousand","38"
"Persons aged 15-89 years in Employment","2013Q1","Female","Education (P)","Thousand","106.5"
"Persons aged 15-89 years in Employment","2013Q1","Female","Human health and social work activities (Q)","Thousand","203.3"
"Persons aged 15-89 years in Employment","2013Q1","Female","Industry (B to E)","Thousand","73.6"
"Persons aged 15-89 years in Employment","2013Q1","Female","Industry and Construction (B to F)","Thousand","78"
"Persons aged 15-89 years in Employment","2013Q1","Female","Services (G to U)","Thousand","781.6"
"Persons aged 15-89 years in Employment","2013Q1","Female","Financial, insurance and real estate activities (K,L)","Thousand","50"
"Persons aged 15-89 years in Employment","2013Q1","Female","Other NACE activities (R to U)","Thousand","62.4"
"Persons aged 15-89 years in Employment","2013Q1","Female","Not stated","Thousand",""
"Persons aged 15-89 years in Employment","2013Q2","Both sexes","All NACE economic sectors","Thousand","1924.2"
"Persons aged 15-89 years in Employment","2013Q2","Both sexes","Agriculture, forestry and fishing (A)","Thousand","112.8"
"Persons aged 15-89 years in Employment","2013Q2","Both sexes","Construction (F)","Thousand","85.9"
"Persons aged 15-89 years in Employment","2013Q2","Both sexes","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","280.4"
"Persons aged 15-89 years in Employment","2013Q2","Both sexes","Transportation and storage (H)","Thousand","80.7"
"Persons aged 15-89 years in Employment","2013Q2","Both sexes","Accommodation and food service activities (I)","Thousand","136.3"
"Persons aged 15-89 years in Employment","2013Q2","Both sexes","Information and communication (J)","Thousand","95.8"
"Persons aged 15-89 years in Employment","2013Q2","Both sexes","Professional, scientific and technical activities (M)","Thousand","116.4"
"Persons aged 15-89 years in Employment","2013Q2","Both sexes","Administrative and support service activities (N)","Thousand","70.2"
"Persons aged 15-89 years in Employment","2013Q2","Both sexes","Public administration and defence, compulsory social security (O)","Thousand","85.4"
"Persons aged 15-89 years in Employment","2013Q2","Both sexes","Education (P)","Thousand","145.3"
"Persons aged 15-89 years in Employment","2013Q2","Both sexes","Human health and social work activities (Q)","Thousand","258"
"Persons aged 15-89 years in Employment","2013Q2","Both sexes","Industry (B to E)","Thousand","243.8"
"Persons aged 15-89 years in Employment","2013Q2","Both sexes","Industry and Construction (B to F)","Thousand","329.7"
"Persons aged 15-89 years in Employment","2013Q2","Both sexes","Services (G to U)","Thousand","1479"
"Persons aged 15-89 years in Employment","2013Q2","Both sexes","Financial, insurance and real estate activities (K,L)","Thousand","101.4"
"Persons aged 15-89 years in Employment","2013Q2","Both sexes","Other NACE activities (R to U)","Thousand","109.1"
"Persons aged 15-89 years in Employment","2013Q2","Both sexes","Not stated","Thousand","2.7"
"Persons aged 15-89 years in Employment","2013Q2","Male","All NACE economic sectors","Thousand","1034.3"
"Persons aged 15-89 years in Employment","2013Q2","Male","Agriculture, forestry and fishing (A)","Thousand","98.3"
"Persons aged 15-89 years in Employment","2013Q2","Male","Construction (F)","Thousand","81"
"Persons aged 15-89 years in Employment","2013Q2","Male","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","140.5"
"Persons aged 15-89 years in Employment","2013Q2","Male","Transportation and storage (H)","Thousand","65.3"
"Persons aged 15-89 years in Employment","2013Q2","Male","Accommodation and food service activities (I)","Thousand","68.8"
"Persons aged 15-89 years in Employment","2013Q2","Male","Information and communication (J)","Thousand","64.6"
"Persons aged 15-89 years in Employment","2013Q2","Male","Professional, scientific and technical activities (M)","Thousand","67.7"
"Persons aged 15-89 years in Employment","2013Q2","Male","Administrative and support service activities (N)","Thousand","38.9"
"Persons aged 15-89 years in Employment","2013Q2","Male","Public administration and defence, compulsory social security (O)","Thousand","45.1"
"Persons aged 15-89 years in Employment","2013Q2","Male","Education (P)","Thousand","35.1"
"Persons aged 15-89 years in Employment","2013Q2","Male","Human health and social work activities (Q)","Thousand","59.3"
"Persons aged 15-89 years in Employment","2013Q2","Male","Industry (B to E)","Thousand","172.5"
"Persons aged 15-89 years in Employment","2013Q2","Male","Industry and Construction (B to F)","Thousand","253.5"
"Persons aged 15-89 years in Employment","2013Q2","Male","Services (G to U)","Thousand","680.7"
"Persons aged 15-89 years in Employment","2013Q2","Male","Financial, insurance and real estate activities (K,L)","Thousand","48.9"
"Persons aged 15-89 years in Employment","2013Q2","Male","Other NACE activities (R to U)","Thousand","46.7"
"Persons aged 15-89 years in Employment","2013Q2","Male","Not stated","Thousand",""
"Persons aged 15-89 years in Employment","2013Q2","Female","All NACE economic sectors","Thousand","889.9"
"Persons aged 15-89 years in Employment","2013Q2","Female","Agriculture, forestry and fishing (A)","Thousand","14.6"
"Persons aged 15-89 years in Employment","2013Q2","Female","Construction (F)","Thousand","4.9"
"Persons aged 15-89 years in Employment","2013Q2","Female","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","139.9"
"Persons aged 15-89 years in Employment","2013Q2","Female","Transportation and storage (H)","Thousand","15.4"
"Persons aged 15-89 years in Employment","2013Q2","Female","Accommodation and food service activities (I)","Thousand","67.5"
"Persons aged 15-89 years in Employment","2013Q2","Female","Information and communication (J)","Thousand","31.2"
"Persons aged 15-89 years in Employment","2013Q2","Female","Professional, scientific and technical activities (M)","Thousand","48.8"
"Persons aged 15-89 years in Employment","2013Q2","Female","Administrative and support service activities (N)","Thousand","31.3"
"Persons aged 15-89 years in Employment","2013Q2","Female","Public administration and defence, compulsory social security (O)","Thousand","40.4"
"Persons aged 15-89 years in Employment","2013Q2","Female","Education (P)","Thousand","110.1"
"Persons aged 15-89 years in Employment","2013Q2","Female","Human health and social work activities (Q)","Thousand","198.7"
"Persons aged 15-89 years in Employment","2013Q2","Female","Industry (B to E)","Thousand","71.2"
"Persons aged 15-89 years in Employment","2013Q2","Female","Industry and Construction (B to F)","Thousand","76.2"
"Persons aged 15-89 years in Employment","2013Q2","Female","Services (G to U)","Thousand","798.2"
"Persons aged 15-89 years in Employment","2013Q2","Female","Financial, insurance and real estate activities (K,L)","Thousand","52.5"
"Persons aged 15-89 years in Employment","2013Q2","Female","Other NACE activities (R to U)","Thousand","62.4"
"Persons aged 15-89 years in Employment","2013Q2","Female","Not stated","Thousand",""
"Persons aged 15-89 years in Employment","2013Q3","Both sexes","All NACE economic sectors","Thousand","1962"
"Persons aged 15-89 years in Employment","2013Q3","Both sexes","Agriculture, forestry and fishing (A)","Thousand","112.2"
"Persons aged 15-89 years in Employment","2013Q3","Both sexes","Construction (F)","Thousand","89.2"
"Persons aged 15-89 years in Employment","2013Q3","Both sexes","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","284.8"
"Persons aged 15-89 years in Employment","2013Q3","Both sexes","Transportation and storage (H)","Thousand","83.6"
"Persons aged 15-89 years in Employment","2013Q3","Both sexes","Accommodation and food service activities (I)","Thousand","144.5"
"Persons aged 15-89 years in Employment","2013Q3","Both sexes","Information and communication (J)","Thousand","97.5"
"Persons aged 15-89 years in Employment","2013Q3","Both sexes","Professional, scientific and technical activities (M)","Thousand","121.5"
"Persons aged 15-89 years in Employment","2013Q3","Both sexes","Administrative and support service activities (N)","Thousand","78.8"
"Persons aged 15-89 years in Employment","2013Q3","Both sexes","Public administration and defence, compulsory social security (O)","Thousand","87.3"
"Persons aged 15-89 years in Employment","2013Q3","Both sexes","Education (P)","Thousand","136.6"
"Persons aged 15-89 years in Employment","2013Q3","Both sexes","Human health and social work activities (Q)","Thousand","257.9"
"Persons aged 15-89 years in Employment","2013Q3","Both sexes","Industry (B to E)","Thousand","249.8"
"Persons aged 15-89 years in Employment","2013Q3","Both sexes","Industry and Construction (B to F)","Thousand","339.1"
"Persons aged 15-89 years in Employment","2013Q3","Both sexes","Services (G to U)","Thousand","1504.8"
"Persons aged 15-89 years in Employment","2013Q3","Both sexes","Financial, insurance and real estate activities (K,L)","Thousand","104.3"
"Persons aged 15-89 years in Employment","2013Q3","Both sexes","Other NACE activities (R to U)","Thousand","108"
"Persons aged 15-89 years in Employment","2013Q3","Both sexes","Not stated","Thousand","5.9"
"Persons aged 15-89 years in Employment","2013Q3","Male","All NACE economic sectors","Thousand","1059.3"
"Persons aged 15-89 years in Employment","2013Q3","Male","Agriculture, forestry and fishing (A)","Thousand","97.6"
"Persons aged 15-89 years in Employment","2013Q3","Male","Construction (F)","Thousand","83.6"
